stop_id,stop_name,station_name,station_descriptive_name,direction_id,map_id,ada,red,blue,green,brown,purple,purple_exp,yellow,pink,orange,lat,lon
30162,18th (54th/Cermak-bound),18th,18th (Pink Line),W,40830,True,False,False,False,False,False,False,False,True,False,41.857908,-87.669147
30161,18th (Loop-bound),18th,18th (Pink Line),E,40830,True,False,False,False,False,False,False,False,True,False,41.857908,-87.669147
30022,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),N,40120,True,False,False,False,False,False,False,False,False,True,41.829353,-87.680622
30023,35th/Archer (Midway-bound),35th/Archer,35th/Archer (Orange Line),S,40120,True,False,False,False,False,False,False,False,False,True,41.829353,-87.680622
30213,35-Bronzeville-IIT (Harlem-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),N,41120,True,False,False,True,False,False,False,False,False,False,41.831677,-87.625826
30214,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),S,41120,True,False,False,True,False,False,False,False,False,False,41.831677,-87.625826
30245,43rd (Harlem-bound),43rd,43rd (Green Line),N,41270,True,False,False,True,False,False,False,False,False,False,41.816462,-87.619021
30246,43rd (63rd-bound),43rd,43rd (Green Line),S,41270,True,False,False,True,False,False,False,False,False,False,41.816462,-87.619021
30237,47th (Howard-bound),47th,47th (Red Line),N,41230,True,True,False,False,False,False,False,False,False,False,41.810318,-87.63094
30238,47th (95th-bound),47th,47th (Red Line),S,41230,True,True,False,False,False,False,False,False,False,False,41.810318,-87.63094
30210,47th (63rd-bound),47th,47th (Green Line),S,41080,True,False,False,True,False,False,False,False,False,False,41.809209,-87.618826
30209,47th (Harlem-bound),47th,47th (Green Line),N,41080,True,False,False,True,False,False,False,False,False,False,41.809209,-87.618826
30025,51st (63rd-bound),51st,51st (Green Line),S,40130,True,False,False,True,False,False,False,False,False,False,41.80209,-87.618487
30024,51st (Harlem-bound),51st,51st (Green Line),N,40130,True,False,False,True,False,False,False,False,False,False,41.80209,-87.618487
30114,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),W,40580,True,False,False,False,False,False,False,False,True,False,41.85177331,-87.75669201
30113,54th/Cermak (Loop-bound),54th/Cermak,54th/Cermak (Pink Line),E,40580,True,False,False,False,False,False,False,False,True,False,41.85177331,-87.75669201
30178,63rd (95th-bound),63rd,63rd (Red Line),S,40910,True,True,False,False,False,False,False,False,False,False,41.780536,-87.630952
30177,63rd (Howard-bound),63rd,63rd (Red Line),N,40910,True,True,False,False,False,False,False,False,False,False,41.780536,-87.630952
30192,69th (95th-bound),69th,69th (Red Line),S,40990,True,True,False,False,False,False,False,False,False,False,41.768367,-87.625724
30191,69th (Howard-bound),69th,69th (Red Line),N,40990,True,True,False,False,False,False,False,False,False,False,41.768367,-87.625724
30047,79th (95th-bound),79th,79th (Red Line),S,40240,True,True,False,False,False,False,False,False,False,False,41.750419,-87.625112
30046,79th (Howard-bound),79th,79th (Red Line),N,40240,True,True,False,False,False,False,False,False,False,False,41.750419,-87.625112
30276,87th (95th-bound),87th,87th (Red Line),S,41430,True,True,False,False,False,False,False,False,False,False,41.735372,-87.624717
30275,87th (Howard-bound),87th,87th (Red Line),N,41430,True,True,False,False,False,False,False,False,False,False,41.735372,-87.624717
30088,95th/Dan Ryan (Howard-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),N,40450,True,True,False,False,False,False,False,False,False,False,41.722377,-87.624342
30089,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),S,40450,True,True,False,False,False,False,False,False,False,False,41.722377,-87.624342
30131,Adams/Wabash (Outer Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",N,40680,False,False,False,True,True,False,False,False,False,False,41.879507,-87.626037
30132,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",S,40680,False,False,False,True,False,False,True,False,True,True,41.879507,-87.626037
30240,Addison (Forest Pk-bound),Addison,Addison (Blue Line),S,41240,True,False,True,False,False,False,False,False,False,False,41.94738,-87.71906
30239,Addison (O'Hare-bound),Addison,Addison (Blue Line),N,41240,True,False,True,False,False,False,False,False,False,False,41.94738,-87.71906
30273,Addison (Howard-bound),Addison,Addison (Red Line),N,41420,True,True,False,False,False,False,False,False,False,False,41.947428,-87.653626
30277,Addison (Kimball-bound),Addison,Addison (Brown Line),N,41440,True,False,False,False,True,False,False,False,False,False,41.947028,-87.674642
30274,Addison (95th-bound),Addison,Addison (Red Line),S,41420,True,True,False,False,False,False,False,False,False,False,41.947428,-87.653626
30278,Addison (Loop-bound),Addison,Addison (Brown Line),S,41440,True,False,False,False,True,False,False,False,False,False,41.947028,-87.674642
30229,Argyle (Howard-bound),Argyle,Argyle (Red Line),N,41200,False,True,False,False,False,False,False,False,False,False,41.973453,-87.65853
